Player,Comp,Nation,Age,Pos,Squad,Gls_90,Ast_90,xG_90,xAG_90
Samuel Bamba,de Bundesliga,de GER,20.0,"FW,MF",Bochum,0.0,0.0,0.35,0.1
Noahkai Banks,de Bundesliga,us USA,17.0,DF,Augsburg,0.0,0.0,0.02,0.0
Adrian Baquerin,es La Liga,es ESP,17.0,FW,Valladolid,0.0,0.0,0.71,0.0
Valentín Barco,es La Liga,ar ARG,20.0,"DF,FW",Sevilla,0.0,0.0,0.09,0.2
Valentín Barco,fr Ligue 1,ar ARG,20.0,"MF,DF",Strasbourg,0.0,0.16,0.04,0.11
Bradley Barcola,fr Ligue 1,fr FRA,21.0,FW,Paris S-G,0.58,0.41,0.55,0.42
Téo Barisic,fr Ligue 1,fr FRA,19.0,DF,Lyon,0.0,0.0,0.0,0.0
Pablo Barrios,es La Liga,es ESP,21.0,MF,Atlético Madrid,0.04,0.15,0.05,0.09
Thierno Barry,es La Liga,fr FRA,21.0,FW,Villarreal,0.43,0.15,0.48,0.11
Davide Bartesaghi,it Serie A,it ITA,18.0,DF,Milan,0.0,0.0,0.01,0.08
Aboubacar Bassinga,es La Liga,ci CIV,19.0,MF,Las Palmas,0.0,0.0,0.0,0.0
Rafael Bauza,es La Liga,es ESP,19.0,MF,Espanyol,0.0,0.0,0.04,0.0
Maximilian Beier,de Bundesliga,de GER,21.0,"FW,MF",Dortmund,0.45,0.28,0.44,0.19
Luken Beitia,es La Liga,es ESP,20.0,DF,Real Sociedad,0.0,0.0,0.0,0.0
Ismael Bekhoucha,es La Liga,ma MAR,19.0,"MF,DF",Getafe,0.0,0.0,0.0,0.0
Reda Belahyane,it Serie A,ma MAR,20.0,MF,Hellas Verona,0.0,0.11,0.01,0.06
Reda Belahyane,it Serie A,ma MAR,20.0,MF,Lazio,0.0,0.0,0.0,0.0
Jude Bellingham,es La Liga,eng ENG,21.0,MF,Real Madrid,0.33,0.29,0.41,0.14
Jeanuël Belocian,de Bundesliga,fr FRA,19.0,"DF,MF",Leverkusen,0.0,0.0,0.0,0.0
Eliesse Ben Seghir,fr Ligue 1,ma MAR,19.0,"MF,FW",Monaco,0.31,0.15,0.29,0.27
Iker Benito,es La Liga,es ESP,21.0,"FW,MF",Osasuna,0.0,0.0,0.0,0.09
Lucas Beraldo,fr Ligue 1,br BRA,20.0,DF,Paris S-G,0.04,0.0,0.04,0.02
Lucas Bergvall,eng Premier League,se SWE,18.0,MF,Tottenham,0.0,0.07,0.05,0.04
Medon Berisha,it Serie A,al ALB,20.0,MF,Lecce,0.0,0.13,0.09,0.07
Marc Bernal,es La Liga,es ESP,17.0,MF,Barcelona,0.0,0.0,0.03,0.01
Victor Bernth Kristiansen,eng Premier League,dk DEN,21.0,DF,Leicester City,0.0,0.04,0.01,0.05
Alessandro Bianco,it Serie A,it ITA,21.0,MF,Monza,0.03,0.0,0.04,0.04
Alessandro Bianco,it Serie A,it ITA,21.0,MF,Fiorentina,0.0,0.0,0.0,0.0
Mika Biereth,fr Ligue 1,dk DEN,21.0,FW,Monaco,0.95,0.15,0.83,0.33
Tom Bischof,de Bundesliga,de GER,19.0,"MF,FW",Hoffenheim,0.18,0.07,0.08,0.13
Emmanuel Biumla,fr Ligue 1,fr FRA,19.0,DF,Angers,0.07,0.0,0.05,0.0
Oscar Bobb,eng Premier League,no NOR,21.0,FW,Manchester City,0.0,0.0,0.0,0.41
Mathéo Bodmer,fr Ligue 1,fr FRA,20.0,MF,Le Havre,0.0,0.0,0.0,0.0
Lamare Bogarde,eng Premier League,nl NED,20.0,"DF,MF",Aston Villa,0.0,0.0,0.01,0.02
Warren Bondo,it Serie A,fr FRA,20.0,MF,Monza,0.0,0.0,0.02,0.02
Warren Bondo,it Serie A,fr FRA,20.0,MF,Milan,0.0,0.0,0.02,0.05
Ange-Yoan Bonny,it Serie A,fr FRA,20.0,FW,Parma,0.21,0.14,0.34,0.1
Saïmon Bouabré,fr Ligue 1,fr FRA,18.0,"MF,FW",Monaco,0.0,0.0,0.0,0.0
